loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_runtime,test_samples_per_second,test_steps_per_second
6.831963348388672,6.793875694274902,6.848e-05,0.11428571428571428,20,,,,,,,,,,,,,
3.909059524536133,6.414738655090332,6.688e-05,0.22857142857142856,40,,,,,,,,,,,,,
2.3526166915893554,3.78971266746521,6.528e-05,0.34285714285714286,60,,,,,,,,,,,,,
1.6927324295043946,4.218974590301514,6.367999999999999e-05,0.45714285714285713,80,,,,,,,,,,,,,
1.3509543418884278,5.238469123840332,6.208e-05,0.5714285714285714,100,,,,,,,,,,,,,
1.2061423301696776,2.8579511642456055,6.048e-05,0.6857142857142857,120,,,,,,,,,,,,,
1.0657502174377442,3.258207082748413,5.888e-05,0.8,140,,,,,,,,,,,,,
0.9833271980285645,2.9289655685424805,5.7279999999999994e-05,0.9142857142857143,160,,,,,,,,,,,,,
,,,1.0,175,0.3563264012336731,4.4471,67.46,16.865,,,,,,,,,
0.9609957695007324,2.215458631515503,5.567999999999999e-05,1.0285714285714285,180,,,,,,,,,,,,,
0.8749825477600097,2.330021619796753,5.408e-05,1.1428571428571428,200,,,,,,,,,,,,,
0.8403961181640625,2.1341066360473633,5.247999999999999e-05,1.2571428571428571,220,,,,,,,,,,,,,
0.8453523635864257,1.8489279747009277,5.0879999999999994e-05,1.3714285714285714,240,,,,,,,,,,,,,
0.7973621368408204,2.322984457015991,4.9279999999999996e-05,1.4857142857142858,260,,,,,,,,,,,,,
0.8299065589904785,2.513991594314575,4.768e-05,1.6,280,,,,,,,,,,,,,
0.755782175064087,1.7606438398361206,4.607999999999999e-05,1.7142857142857144,300,,,,,,,,,,,,,
0.7815762042999268,2.151228666305542,4.448e-05,1.8285714285714287,320,,,,,,,,,,,,,
0.745943832397461,1.9763612747192383,4.2879999999999996e-05,1.9428571428571428,340,,,,,,,,,,,,,
,,,2.0,350,0.29298853874206543,4.4524,67.379,16.845,,,,,,,,,
0.719843578338623,2.380011558532715,4.128e-05,2.057142857142857,360,,,,,,,,,,,,,
0.6859567165374756,2.202169179916382,3.967999999999999e-05,2.1714285714285713,380,,,,,,,,,,,,,
0.6754400253295898,2.06278657913208,3.808e-05,2.2857142857142856,400,,,,,,,,,,,,,
0.6668955326080322,3.068103790283203,3.6479999999999996e-05,2.4,420,,,,,,,,,,,,,
0.7068657398223877,1.7178510427474976,3.488e-05,2.5142857142857142,440,,,,,,,,,,,,,
0.693854284286499,2.3801136016845703,3.328e-05,2.6285714285714286,460,,,,,,,,,,,,,
0.6647268772125244,1.6323493719100952,3.1679999999999995e-05,2.742857142857143,480,,,,,,,,,,,,,
0.6429576396942138,2.6186084747314453,3.0079999999999997e-05,2.857142857142857,500,,,,,,,,,,,,,
0.6533944606781006,2.3386738300323486,2.848e-05,2.9714285714285715,520,,,,,,,,,,,,,
,,,3.0,525,0.27083900570869446,4.4512,67.398,16.849,,,,,,,,,
0.6602048873901367,1.910388469696045,2.6879999999999997e-05,3.085714285714286,540,,,,,,,,,,,,,
0.6224952220916748,1.5702636241912842,2.528e-05,3.2,560,,,,,,,,,,,,,
0.626546049118042,1.6330897808074951,2.368e-05,3.314285714285714,580,,,,,,,,,,,,,
0.6141252994537354,1.575735092163086,2.208e-05,3.4285714285714284,600,,,,,,,,,,,,,
0.6125060558319092,1.7789777517318726,2.048e-05,3.5428571428571427,620,,,,,,,,,,,,,
0.5760134220123291,2.209667444229126,1.888e-05,3.657142857142857,640,,,,,,,,,,,,,
0.6378004074096679,2.5015857219696045,1.7279999999999997e-05,3.7714285714285714,660,,,,,,,,,,,,,
0.6060219764709472,1.6565858125686646,1.568e-05,3.8857142857142857,680,,,,,,,,,,,,,
0.6102668762207031,1.5886542797088623,1.4079999999999999e-05,4.0,700,,,,,,,,,,,,,
,,,4.0,700,0.25716373324394226,4.4573,67.306,16.826,,,,,,,,,
0.5694705486297608,1.6149078607559204,1.2479999999999999e-05,4.114285714285714,720,,,,,,,,,,,,,
0.5971246242523194,2.738483428955078,1.0879999999999997e-05,4.228571428571429,740,,,,,,,,,,,,,
0.595717191696167,1.6086446046829224,9.28e-06,4.3428571428571425,760,,,,,,,,,,,,,
0.5706043720245362,1.7714020013809204,7.68e-06,4.457142857142857,780,,,,,,,,,,,,,
0.6145208358764649,1.6479068994522095,6.079999999999999e-06,4.571428571428571,800,,,,,,,,,,,,,
0.5747668743133545,1.8535175323486328,4.4799999999999995e-06,4.685714285714286,820,,,,,,,,,,,,,
0.600423526763916,1.9799528121948242,2.8799999999999995e-06,4.8,840,,,,,,,,,,,,,
0.6027068138122559,1.320265531539917,1.28e-06,4.914285714285715,860,,,,,,,,,,,,,
,,,5.0,875,0.2545958459377289,4.4717,67.088,16.772,,,,,,,,,
,,,5.0,875,,,,,357.4038,19.586,2.448,256633459900416.0,0.9983622534615653,,,,
,,,5.0,875,,,,,,,,,,0.2427988201379776,4.4385,67.59,16.897
